dataset,model,n_features,n_samples,backend,library,computation_type,approximator,budget,n_eval,runtime_s,n_model_evals,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,reference_backend
gisette,random_forest,256,1000,shap_approx,shap,approximation,kernel,512.0,100,72.2077,10240300.0,0.0022851840435762,0.8638973422240905,0.973,0.2981624916959904,shap_true_value
gisette,random_forest,256,1000,shap_approx,shap,approximation,permutation,512.0,100,86.3604,11979645.0,0.0008484312403302,0.3207433097747802,0.8371353410027877,0.8643191858499043,shap_true_value
gisette,random_forest,256,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,86.1227,5120201.0,0.0100058754549802,3.782649032790863,0.5663671875,0.2528409175440604,shap_true_value
gisette,random_forest,256,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,189.9776,5120201.0,0.0013070628227822,0.4941256709259883,0.8035599226804123,0.7877126006250146,shap_true_value
gisette,random_forest,256,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,2938.5523,706860300.0,0.0013256267705226,0.5011436374478524,0.7289453125,0.7201759484435795,shap_true_value
gisette,random_forest,256,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,2906.4345,717324700.0,0.0003083983575424,0.1165877742653384,0.9490234375,0.986555021780488,shap_true_value
gisette,random_forest,256,1000,dalex_approx,dalex,approximation,permutation,512.0,100,346.8046,10300301.0,0.0012001861177526,0.4537217036042956,0.8092155217200175,0.8007598687068799,shap_true_value
adult_census,decision_tree,4,1000,shap_true_value,shap,true_value,,,100,0.0051,,,,,,
adult_census,decision_tree,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.212,280300.0,0.0072142027717216,0.1082925551032984,0.965,0.952,shap_true_value
adult_census,decision_tree,4,1000,shap_approx,shap,approximation,permutation,512.0,100,7.7786,5696292.0,0.0071990567810584,0.1080651983072124,0.965,0.952,shap_true_value
adult_census,decision_tree,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.6449,160201.0,0.0116695437130668,0.1751717751171626,0.94,0.8899999999999999,shap_true_value
adult_census,decision_tree,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,127.4365,5120201.0,0.0078851898742484,0.1183647571293914,0.9625,0.948,shap_true_value
adult_census,decision_tree,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,1.3463,2075100.0,0.0072498700849503,0.1088279579198571,0.96,0.954,shap_true_value
adult_census,decision_tree,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,1.2252,844300.0,0.0071544203699258,0.1073951601664578,0.96,0.954,shap_true_value
adult_census,decision_tree,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,40.7087,12820301.0,0.0082673695521861,0.1241016646078815,0.97,0.9479999999999998,shap_true_value
gisette,decision_tree,256,1000,shap_true_value,shap,true_value,,,100,0.0116,,,,,,
gisette,decision_tree,256,1000,shap_approx,shap,approximation,kernel,512.0,100,12.0241,10240300.0,0.0017694101062135,0.5360676331235616,0.9641185647425896,0.2980700974179032,shap_true_value
gisette,decision_tree,256,1000,shap_approx,shap,approximation,permutation,512.0,100,15.9036,11978056.0,0.002167729730148,0.6567441553607734,0.9558823529411764,0.6960133695638627,shap_true_value
gisette,decision_tree,256,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,20.2246,5120201.0,0.0239571170592774,7.258144956520858,0.6226658081133291,0.1544262432672342,shap_true_value
gisette,decision_tree,256,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,28.9792,5120201.0,0.0031152594998865,0.9438116018471044,0.9439912996193583,0.5434147229941523,shap_true_value
gisette,decision_tree,256,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,10682.2774,4633452300.0,0.0022033705832699,0.6675420521900476,0.8630607426486371,0.4685265083719848,shap_true_value
gisette,decision_tree,256,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,10169.6603,4627692700.0,0.0004598377420598,0.1393142998004196,0.995921871646276,0.9620089954008398,shap_true_value
gisette,decision_tree,256,1000,dalex_approx,dalex,approximation,permutation,512.0,100,49.4744,10300301.0,0.0029430338619639,0.8916334268948233,0.9409937888198758,0.6179620764253528,shap_true_value
adult_census,linear_regularized,4,1000,shap_true_value,shap,true_value,,,100,0.0031,,,,,,
adult_census,linear_regularized,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.2149,280300.0,0.0529356834721904,0.2213547982519545,0.9975,0.97,shap_true_value
adult_census,linear_regularized,4,1000,shap_approx,shap,approximation,permutation,512.0,100,7.3658,5694844.0,0.0529356834721907,0.2213547982519556,0.9975,0.97,shap_true_value
adult_census,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.6841,160201.0,0.0798888034508222,0.3340614271984772,0.915,0.956,shap_true_value
adult_census,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,127.5756,5120201.0,0.054240589688243,0.2268113680598003,0.99,0.968,shap_true_value
adult_census,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,0.156,240300.0,0.0529356834721905,0.2213547982519549,0.9975,0.97,shap_true_value
adult_census,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,0.2025,240300.0,0.0529356834721905,0.2213547982519549,0.9975,0.97,shap_true_value
adult_census,linear_regularized,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,40.0082,12820301.0,0.0529356834721905,0.2213547982519547,0.9975,0.97,shap_true_value
gisette,linear_regularized,256,1000,shap_true_value,shap,true_value,,,100,0.0039,,,,,,
gisette,linear_regularized,256,1000,shap_approx,shap,approximation,kernel,512.0,100,11.0266,10240300.0,0.3077908325271329,0.9787248677714392,0.944,0.2452671964763561,shap_true_value
gisette,linear_regularized,256,1000,shap_approx,shap,approximation,permutation,512.0,100,14.7714,11980753.0,0.0202298471695579,0.0643276290378681,0.9967578125,0.998579172865644,shap_true_value
gisette,linear_regularized,256,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,19.8549,5120201.0,0.0844881176998552,0.2686584949431823,0.9146875,0.9516685525864038,shap_true_value
gisette,linear_regularized,256,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,28.172,5120201.0,0.0289114388513675,0.0919336808525391,0.9936328125,0.9950470645456624,shap_true_value
gisette,linear_regularized,256,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,44.6147,20400300.0,0.0202298471695593,0.0643276290378726,0.9967578125,0.998579172865644,shap_true_value
gisette,linear_regularized,256,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,66.2121,30480300.0,0.0202298471695579,0.0643276290378682,0.9967578125,0.998579172865644,shap_true_value
gisette,linear_regularized,256,1000,dalex_approx,dalex,approximation,permutation,512.0,100,48.0304,10300301.0,0.0202298471695579,0.0643276290378682,0.9967578125,0.998579172865644,shap_true_value
adult_census,gradient_boosting,4,1000,shap_true_value,shap,true_value,,,100,0.2663,,,,,,
adult_census,gradient_boosting,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.5398,280300.0,0.0704796588630891,0.1094171221476132,0.99,0.97,shap_true_value
adult_census,gradient_boosting,4,1000,shap_approx,shap,approximation,permutation,512.0,100,15.3335,5696053.0,0.0705483676559564,0.1095237900643292,0.99,0.97,shap_true_value
adult_census,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,11.7275,160201.0,0.0950008118184397,0.147485325532761,0.9625,0.944,shap_true_value
adult_census,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,421.4172,5120201.0,0.0741640378371681,0.1151369872937827,0.9825,0.964,shap_true_value
adult_census,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,1.6688,878700.0,0.0712413333886344,0.1105995943096907,0.9925,0.97,shap_true_value
adult_census,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,1.4529,439900.0,0.0720159529386235,0.1118021631541815,0.9875,0.966,shap_true_value
adult_census,gradient_boosting,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,101.0127,12820301.0,0.0735748156677817,0.1142222411795164,0.9875,0.966,shap_true_value
gisette,gradient_boosting,256,1000,shap_true_value,shap,true_value,,,100,0.3491,,,,,,
gisette,gradient_boosting,256,1000,shap_approx,shap,approximation,kernel,512.0,100,29.5965,10240300.0,0.0404526091018514,0.7255235610560086,0.9628140703517588,0.2981525208557909,shap_true_value
gisette,gradient_boosting,256,1000,shap_approx,shap,approximation,permutation,512.0,100,36.0657,11978281.0,0.0126480201353567,0.2268441223607542,0.9170641894719224,0.9363717201706002,shap_true_value
gisette,gradient_boosting,256,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,32.3743,5120201.0,0.154368046716375,2.768613878153996,0.5872764227642276,0.3095780000292514,shap_true_value
gisette,gradient_boosting,256,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,60.2522,5120201.0,0.0250638574656634,0.4495240115786768,0.8838179800221976,0.8570111505940019,shap_true_value
gisette,gradient_boosting,256,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,1127.4804,433908300.0,0.0176194375274224,0.3160072327229521,0.7682520325203253,0.7988099153089414,shap_true_value
gisette,gradient_boosting,256,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,1053.8792,441149900.0,0.0060153115283429,0.1078855069623899,0.972560975609756,0.9900969054026773,shap_true_value
gisette,gradient_boosting,256,1000,dalex_approx,dalex,approximation,permutation,512.0,100,100.9775,10300301.0,0.0224233323095948,0.4021658001598449,0.8914804593608119,0.8743442580243854,shap_true_value
adult_census,random_forest,8,1000,shap_true_value,shap,true_value,,,100,1.4596,,,,,,
adult_census,random_forest,8,1000,shap_approx,shap,approximation,kernel,512.0,100,11.0236,5080300.0,0.0037539086067543,0.0875724045986853,0.9725,0.980952380952381,shap_true_value
adult_census,random_forest,8,1000,shap_approx,shap,approximation,permutation,512.0,100,41.5341,6575005.0,0.0042265515776686,0.0985983740123163,0.96625,0.975,shap_true_value
adult_census,random_forest,8,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,61.1427,2560201.0,0.0054854765605047,0.1279669867052172,0.9625,0.9554761904761908,shap_true_value
adult_census,random_forest,8,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,927.6791,5060201.0,0.0052006171816482,0.1213216941868884,0.965,0.973809523809524,shap_true_value
adult_census,random_forest,8,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,330.4593,66015900.0,0.0038112667420609,0.0889104738907991,0.97125,0.980952380952381,shap_true_value
adult_census,random_forest,8,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,287.4502,47640300.0,0.0038481410199213,0.0897706890740527,0.97,0.9802380952380956,shap_true_value
adult_census,random_forest,8,1000,dalex_approx,dalex,approximation,permutation,512.0,100,370.2217,11540301.0,0.005243736407866,0.1223275935626853,0.96875,0.9676190476190478,shap_true_value
adult_census,decision_tree,8,1000,shap_true_value,shap,true_value,,,100,0.0073,,,,,,
adult_census,decision_tree,8,1000,shap_approx,shap,approximation,kernel,512.0,100,0.541,5080300.0,0.0051772918541509,0.1060692468528731,0.966931216931217,0.9700000000000004,shap_true_value
adult_census,decision_tree,8,1000,shap_approx,shap,approximation,permutation,512.0,100,6.0609,6573975.0,0.0062369703701097,0.1277793040140919,0.9603174603174603,0.9640476190476192,shap_true_value
adult_census,decision_tree,8,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.8704,2560201.0,0.0085485787354694,0.1751381482206273,0.9325396825396826,0.936904761904762,shap_true_value
adult_census,decision_tree,8,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,60.75,5060201.0,0.0076629535837116,0.1569939918764966,0.9484126984126984,0.9507142857142858,shap_true_value
adult_census,decision_tree,8,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,54.0243,98591100.0,0.0055692478467439,0.1140994058829231,0.9616402116402116,0.9650000000000004,shap_true_value
adult_census,decision_tree,8,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,51.0707,72156300.0,0.0053363425180477,0.1093277813543548,0.966931216931217,0.968809523809524,shap_true_value
adult_census,decision_tree,8,1000,dalex_approx,dalex,approximation,permutation,512.0,100,31.5816,11540301.0,0.0078841000837095,0.1615247085831696,0.955026455026455,0.9533333333333336,shap_true_value
adult_census,linear_regularized,8,1000,shap_true_value,shap,true_value,,,100,0.0081,,,,,,
adult_census,linear_regularized,8,1000,shap_approx,shap,approximation,kernel,512.0,100,1.0668,5080300.0,0.0308069468557987,0.158850819974458,0.9987468671679198,0.978809523809524,shap_true_value
adult_census,linear_regularized,8,1000,shap_approx,shap,approximation,permutation,512.0,100,6.8127,6575806.0,0.0308068540267386,0.1588503413170834,0.99875,0.978809523809524,shap_true_value
adult_census,linear_regularized,8,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.7806,2560201.0,0.0475121944131189,0.2449886084667031,0.92875,0.968809523809524,shap_true_value
adult_census,linear_regularized,8,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,59.8979,5060201.0,0.0343894647653409,0.1773234686977391,0.9775,0.9764285714285716,shap_true_value
adult_census,linear_regularized,8,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,0.3018,560300.0,0.0308068540267386,0.1588503413170833,0.99875,0.978809523809524,shap_true_value
adult_census,linear_regularized,8,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,0.4198,720300.0,0.0308068540267386,0.1588503413170834,0.99875,0.978809523809524,shap_true_value
adult_census,linear_regularized,8,1000,dalex_approx,dalex,approximation,permutation,512.0,100,30.373,11540301.0,0.0308068540267386,0.1588503413170832,0.99875,0.978809523809524,shap_true_value
adult_census,gradient_boosting,8,1000,shap_true_value,shap,true_value,,,100,0.3509,,,,,,
adult_census,gradient_boosting,8,1000,shap_approx,shap,approximation,kernel,512.0,100,2.8568,5080300.0,0.0530798645537383,0.0981583613368443,0.9625,0.9771428571428572,shap_true_value
adult_census,gradient_boosting,8,1000,shap_approx,shap,approximation,permutation,512.0,100,11.4691,6575740.0,0.0535666933335703,0.0990586333266408,0.96125,0.9771428571428572,shap_true_value
adult_census,gradient_boosting,8,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,13.1554,2560201.0,0.0770734440278247,0.1425286788495667,0.9225,0.9595238095238098,shap_true_value
adult_census,gradient_boosting,8,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,197.5997,5060201.0,0.0648464693781272,0.1199178488142643,0.9525,0.9690476190476188,shap_true_value
adult_census,gradient_boosting,8,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,21.0627,15459100.0,0.054504591395047,0.1007930487700402,0.9575,0.9742857142857144,shap_true_value
adult_census,gradient_boosting,8,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,17.93,10838300.0,0.0545179492870547,0.100817750957987,0.96,0.973809523809524,shap_true_value
adult_census,gradient_boosting,8,1000,dalex_approx,dalex,approximation,permutation,512.0,100,84.7784,11540301.0,0.0569606357994601,0.1053349084023994,0.9625,0.9709523809523808,shap_true_value
gisette,decision_tree,4,1000,shap_true_value,shap,true_value,,,100,0.0089,,,,,,
gisette,decision_tree,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.1986,280300.0,0.0129578908039454,0.092999669619266,0.98,0.988,shap_true_value
gisette,decision_tree,4,1000,shap_approx,shap,approximation,permutation,512.0,100,7.0308,7708363.0,0.0141712075087047,0.1017077266937853,0.98,0.984,shap_true_value
gisette,decision_tree,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.565,160201.0,0.0159040448289416,0.1141444188008753,0.965,0.976,shap_true_value
gisette,decision_tree,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,127.1587,5120201.0,0.0146612517576801,0.1052248078255123,0.97,0.976,shap_true_value
gisette,decision_tree,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,11.5678,18260700.0,0.0158851875848824,0.1140090790689724,0.9675,0.978,shap_true_value
gisette,decision_tree,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,10.37,6554700.0,0.0149866773832374,0.1075604098243542,0.965,0.976,shap_true_value
gisette,decision_tree,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,39.3137,12820301.0,0.0143241681256175,0.102805535515675,0.9775,0.97,shap_true_value
gisette,linear_regularized,4,1000,shap_true_value,shap,true_value,,,100,0.0024,,,,,,
gisette,linear_regularized,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.1919,280300.0,0.0483767480738687,0.077668423565208,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,shap_approx,shap,approximation,permutation,512.0,100,6.9034,7707670.0,0.0483767480738683,0.0776684235652072,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.4872,160201.0,0.0592714476236122,0.0951597633707091,0.9975,0.994,shap_true_value
gisette,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,125.3197,5120201.0,0.0494593290524607,0.0794064973576119,1.0,0.996,shap_true_value
gisette,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,0.1511,240300.0,0.0483767480738687,0.077668423565208,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,0.1944,240300.0,0.0483767480738687,0.077668423565208,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,39.0786,12820301.0,0.0483767480738687,0.0776684235652079,0.9975,0.996,shap_true_value
gisette,gradient_boosting,4,1000,shap_true_value,shap,true_value,,,100,0.2727,,,,,,
gisette,gradient_boosting,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.5057,280300.0,0.1008755350626494,0.0984698567470152,0.9525,0.962,shap_true_value
gisette,gradient_boosting,4,1000,shap_approx,shap,approximation,permutation,512.0,100,15.412,7707963.0,0.1023230501767742,0.0998828515414268,0.955,0.9600000000000002,shap_true_value
gisette,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,11.6772,160201.0,0.1165836162860994,0.1138033318743884,0.9525,0.958,shap_true_value
gisette,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,424.0809,5120201.0,0.1060602703854059,0.1035309465760401,0.9525,0.954,shap_true_value
gisette,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,15.8151,8880300.0,0.1099625944723453,0.1073402080940355,0.95,0.972,shap_true_value
gisette,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,13.8472,3407100.0,0.1054938005071948,0.1029779858633727,0.955,0.966,shap_true_value
gisette,gradient_boosting,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,99.5789,12820301.0,0.1090484148717903,0.1064478298355035,0.96,0.954,shap_true_value
gisette,random_forest,32,1000,shap_true_value,shap,true_value,,,100,1.2855,,,,,,
gisette,random_forest,32,1000,shap_approx,shap,approximation,kernel,512.0,100,20.281,10240300.0,0.0088067985731364,0.4335060989938012,0.999,0.790327601056604,shap_true_value
gisette,random_forest,32,1000,shap_approx,shap,approximation,permutation,512.0,100,21.5962,7376731.0,0.0025220740728309,0.1241466446185545,0.974375,0.9904655425219938,shap_true_value
gisette,random_forest,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,69.15,5120201.0,0.0068080986036474,0.3351220358593087,0.865,0.8963966275659823,shap_true_value
gisette,random_forest,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,331.4076,4980201.0,0.0034886576595655,0.1717257820947852,0.954375,0.9764442815249263,shap_true_value
gisette,random_forest,32,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,222.288,115419500.0,0.0026875291974726,0.1322910122961275,0.9609375,0.986198680351906,shap_true_value
gisette,random_forest,32,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,216.344,109902700.0,0.0020816343943208,0.1024664295792984,0.985625,0.9951796187683284,shap_true_value
gisette,random_forest,32,1000,dalex_approx,dalex,approximation,permutation,512.0,100,327.9623,10580301.0,0.002981807293453,0.1467765655137179,0.9665625,0.9848717008797654,shap_true_value
gisette,decision_tree,32,1000,shap_true_value,shap,true_value,,,100,0.0095,,,,,,
gisette,decision_tree,32,1000,shap_approx,shap,approximation,kernel,512.0,100,1.7978,10240300.0,0.0090297760455724,0.3488437811355179,0.9754098360655736,0.7427333655858044,shap_true_value
gisette,decision_tree,32,1000,shap_approx,shap,approximation,permutation,512.0,100,4.8793,7377839.0,0.0081322977517138,0.3141718557260083,0.9150695227358135,0.8921891573031903,shap_true_value
gisette,decision_tree,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,6.9225,5120201.0,0.0142101106236083,0.5489736063525241,0.7547508067407673,0.7307717143287433,shap_true_value
gisette,decision_tree,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,26.1169,4980201.0,0.0098278214558231,0.3796743551192663,0.8816035968527538,0.8650623433560136,shap_true_value
gisette,decision_tree,32,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,173.1144,613105900.0,0.0045986379737566,0.1776573694344557,0.8981713875941197,0.9299416999039776,shap_true_value
gisette,decision_tree,32,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,160.8356,574482700.0,0.0039522188993167,0.1526845159563975,0.9555396199354608,0.9638692991773388,shap_true_value
gisette,decision_tree,32,1000,dalex_approx,dalex,approximation,permutation,512.0,100,30.6232,10580301.0,0.0092671703237864,0.3580149407760427,0.9129297458893872,0.89042859539165,shap_true_value
gisette,linear_regularized,32,1000,shap_true_value,shap,true_value,,,100,0.0034,,,,,,
gisette,linear_regularized,32,1000,shap_approx,shap,approximation,kernel,512.0,100,1.9164,10240300.0,0.219809791001263,0.6022696530461057,1.0,0.7880728674984574,shap_true_value
gisette,linear_regularized,32,1000,shap_approx,shap,approximation,permutation,512.0,100,4.7581,7374881.0,0.0262475310264447,0.0719171395077799,0.99875,0.9954692082111436,shap_true_value
gisette,linear_regularized,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,6.63,5120201.0,0.0363885716097361,0.0997031674449534,0.9840625,0.9926246334310848,shap_true_value
gisette,linear_regularized,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,25.1851,4980201.0,0.0308048523198605,0.0844040096408276,0.989375,0.9941935483870966,shap_true_value
gisette,linear_regularized,32,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,0.6716,2480300.0,0.0262475310264444,0.0719171395077791,0.99875,0.9954692082111436,shap_true_value
gisette,linear_regularized,32,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,0.9557,3600300.0,0.0262475310264447,0.0719171395077799,0.99875,0.9954692082111436,shap_true_value
gisette,linear_regularized,32,1000,dalex_approx,dalex,approximation,permutation,512.0,100,29.4797,10580301.0,0.0262475310264447,0.0719171395077799,0.99875,0.9954692082111436,shap_true_value
gisette,gradient_boosting,32,1000,shap_true_value,shap,true_value,,,100,0.3411,,,,,,
gisette,gradient_boosting,32,1000,shap_approx,shap,approximation,kernel,512.0,100,7.2769,10240300.0,0.1856782461475845,0.4912438164184788,0.999,0.790586304412435,shap_true_value
gisette,gradient_boosting,32,1000,shap_approx,shap,approximation,permutation,512.0,100,8.5066,7376143.0,0.0434437974121007,0.1149380570057114,0.98,0.9912866568914956,shap_true_value
gisette,gradient_boosting,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,22.0761,5120201.0,0.1016361502957148,0.2688959605836873,0.899375,0.9412463343108504,shap_true_value
gisette,gradient_boosting,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,79.3752,4980201.0,0.0628931493177029,0.1663946710959793,0.9621875,0.9823057184750732,shap_true_value
gisette,gradient_boosting,32,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,47.5927,61541500.0,0.0456595305545251,0.1208001610896994,0.970625,0.9891092375366568,shap_true_value
gisette,gradient_boosting,32,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,47.2887,60579500.0,0.0387899403201448,0.1026254756110042,0.9828125,0.9935337243401758,shap_true_value
gisette,gradient_boosting,32,1000,dalex_approx,dalex,approximation,permutation,512.0,100,81.2875,10580301.0,0.0552140180846842,0.1460782053173871,0.9665625,0.9851136363636366,shap_true_value
